aren't,are not
can't,can not
could've,could have
couldn't,could not
didn't,did not
doesn't,does not
don't,do not
hadn't,had not
hasn't,has not
haven't,have not
he'd,he had
he'll,he will
he's,he has
how'd,how did
how'll,how will
how's,how has
I'd,I had
I'll,I shall
I'm,I am
I've,I have
isn't,is not
it'd,it had
it'll,it shall
it's,it has
let's,let us
might've,might have
mightn't,might not
must've,must have
mustn't,must not
needn't,need not
shan't,shall not
she'd,she had
she'll,she shall
she's,she has
should've,should have
shouldn't,should not
so's,so as
that's,that has
there're,there are
there's,there has
they've,there have
they'll,they shall
they're,they are
wasn't,was not
we'd,we would
we'll,we will
we're,we are
we've,we have
weren't,were not
what're,what are
what's,what has
what've,what have
when's,when has
where's,where has
who'll,who shall
who's,who has
why's,why has
won't,will not
won't've,will not have
would've,would have
wouldn't,would not
wouldn't've,would not have
you'll,you shall
you're,you are